,drop_off_instructions,material_name,material_synonyms,material_title,special_instructions,stream_name,stream_title,Location Category,Type
27,,painted_wood,,Painted wood,,edmonton_waste_management_centre_ewmc,Edmonton Waste Management Centre (EWMC),construction,Waste
28,,mercury_thermometer,,Mercury thermometer,,wizard_household_hazardous_waste,Household Hazardous Waste,Chemicals,Waste
29,,spool,,Spool,,wizard_garbage,Garbage,None,None
30,,copper_pipe,,Copper pipe,,eco_station_-_scrap_metal_recycling,Eco Station - Scrap Metal Recycling,construction,Waste
31,,concrete,", Cement blocks, Cement pieces, cement, cement, concerte, concerte, aggregate recycling, aggregate recycling, Concrete steps, Concrete steps",Concrete,,wizard_construction_renovation_and_demolition_waste,"Construction, Renovation and Demolition Waste",construction,Waste
32,,golf_ball,,Golf ball,,wizard_garbage,Garbage,Waste,Waste
33,,hair_straightener,,Hair straightener,,reuse,Reuse,Electronics,E-Cycling
34,,hair_straightener,,Hair straightener,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,None,None
35,,hearing_aid_battery,,Hearing aid battery,,wizard_household_hazardous_waste,Household Hazardous Waste,None,None
36,,vaccum_cleaner,"vaccum, cordless vacuum, hoover vacuum, hoover vacuum",Vacuum cleaner,,reuse,Reuse,Electronics,E-Cycling
37,,milk_jug,", plastic milk bottle",Milk jug,"Remove lids and place in recycling. Did you know? Milk jug lids are accepted for reuse at the ""http://edmonton.ca/reusecentre"">Reuse Centre",wizard_recycling_depots,Recycling Depot,None,None
38,,rice_sack,,Rice sack,,wizard_garbage,Garbage,None,None
39,,tricycle,,Tricycle,,eco_station_-_scrap_metal_recycling,Eco Station - Scrap Metal Recycling,None,None
40,,golf_ball,,Golf ball,,drop-off_-_reuse_centre,Reuse Centre,None,None
41,,beads,pearls,Beads,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
42,,beads,pearls,Beads,,wizard_garbage,Garbage,None,None
43,,beer_bottle,,Beer bottle,,bottle_depot,Bottle Depot,Household,Glass
44,,beer_bottle,,Beer bottle,,wizard_recycling,Recycling,None,None
45,,beer_bottle,,Beer bottle,,wizard_recycling_depots,Recycling Depot,None,None
46,,beer_can,,Beer can,,bottle_depot,Bottle Depot,Household,Aluminum
47,,beer_can,,Beer can,,wizard_recycling,Recycling,None,None
48,,beer_can,,Beer can,,wizard_recycling_depots,Recycling Depot,None,None
49,,spiral_wound_can,", tennis ball cans, powdered drink container, Cashew container, Cashew container, Peanut snack can, comet, comet, baking powder can, baking powder can, Spiral wound paper cans and lids, Spiral wound paper cans and lids, formula containers, koolaid container, formula can, empty dutch cleanser, tennis cans",Spiral wound can,,wizard_garbage,Garbage,None,None
50,,spool,,Spool,,drop-off_-_reuse_centre,Reuse Centre,None,None
51,,concrete,", Cement blocks, Cement pieces, cement, cement, concerte, concerte, aggregate recycling, aggregate recycling, Concrete steps, Concrete steps",Concrete,,eco_station_-_construction_scrap,Eco Station - Loose or Mixed Waste,None,None
52,,backpack,"knapsacks, pack, rucksack, handbag, purse, saddle bag, duffel bag",Backpacks & handbags,,reuse,Reuse,Waste,Waste
53,,boost_drink_bottle,,Boost drink bottle,Remove bottle cap and place separately in recycling.,wizard_recycling,Recycling,None,None
54,,boost_drink_bottle,,Boost drink bottle,Remove bottle cap and place separately in recycling.,bottle_depot,Bottle Depot,None,None
55,,conditioner_bottle,"hair, shampoo, shampoo/conditioner",Conditioner bottle,Remove cap or lid and place separately in recycling. Place pump in the garbage.,wizard_recycling,Recycling,Household,Plastic
56,,blister_packaging_e_g_gum_package,"gum, lozenges, medications",Blister packaging (e.g. gum package),,wizard_garbage,Garbage,None,None
57,,aerosol_can_hazardous_contents,"spray paint, spraypaint, spray-paint, spray cleaner, oven cleaner, insecticide  spray can, insecticide, pesticide",Aerosol can (hazardous contents),,wizard_eco_station_-_household_hazardous_waste,Eco Station - HHW,Chemicals,Waste
58,,plant_pots_ceramic,"Flower pots, flower trays, bedding plant containers, garden, Planter, clay pots, clay pot",Plant pot (ceramic),,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
59,,whipped_cream_can_empty,,Whipped cream can (empty),,wizard_recycling,Recycling,None,None
60,,concrete,", Cement blocks, Cement pieces, cement, cement, concerte, concerte, aggregate recycling, aggregate recycling, Concrete steps, Concrete steps",Concrete,,wizard_construction_and_demolition_waste,Construction and Demolition Waste Recycling,None,None
61,,baseboards,", baseboard",Baseboards,,edmonton_waste_management_centre_ewmc,Edmonton Waste Management Centre (EWMC),construction,Waste
62,,shampoo_bottle,"conditioner, hair, shampoo/conditioner",Shampoo bottle,Remove cap or lid and place separately in recycling. Place pump in garbage.,wizard_recycling,Recycling,Household,Plastic
63,,shampoo_tube,"hair, conditioner, shampoo/conditioner",Shampoo tube,,wizard_garbage,Garbage,None,None
64,,beer_bottle_cap,Beer bottle cap,"Bottle cap, beer",Remove cap from bottle and place separately in recycling.,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
65,,beer_bottle_cap,Beer bottle cap,"Bottle cap, beer",Remove cap from bottle and place separately in recycling.,wizard_recycling,Recycling,None,None
66,,index_divider_plastic,,Index divider (plastic),,wizard_garbage,Garbage,None,None
67,,milk_jug,", plastic milk bottle",Milk jug,"Remove lids and place in recycling. Did you know? Milk jug lids are accepted for reuse at the ""http://edmonton.ca/reusecentre"">Reuse Centre",bottle_depot,Bottle Depot,None,None
68,,plastic_salad_dressing_bottle_empty,,Plastic salad dressing bottle (empty),Remove cap or lid and place separately in recycling.,wizard_recycling_depots,Recycling Depot,Household,plastic
69,,cloth_napkin,,Cloth napkin,,wizard_garbage,Garbage,None,None
70,,dental_flossers,,Dental flossers,,wizard_garbage,Garbage,None,None
71,,mousepad,,Mousepad,,wizard_garbage,Garbage,None,None
72,,golf_ball,,Golf ball,,reuse,Reuse,None,None
73,,battery_rechargeable,"battweies, batteriesr, battries, bateries, batery, bateriew, bateries, bateriew, batery, batteris, baggeries, Batteries",Battery (rechargeable),,wizard_household_hazardous_waste,Household Hazardous Waste,automotive battery,Battery
74,,bread_bag_tag,,Bread bag tag,,drop-off_-_reuse_centre,Reuse Centre,Household,plastic
75,,bread_bag_tag,,Bread bag tag,,wizard_garbage,Garbage,None,None
76,,ceiling_fan,,Ceiling fan,,reuse,Reuse,Scrap Metals,Waste
77,,computer_cables,"computer cord, ethernet cable, ethernet cable",Computer cables,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Computers,Computers
78,,home_renovation_waste,"Reno waste, renovation waste, drywall, sinks, bathtubs, glasspane, pipes, counter tops, cupboards, baseboards, floor boards, door frames, doors, ceiling panels, linoleum, hardwood flooring, faucet, cabinets, tiles, vinyl siding, vinyl, vinyl, fiber glass, fibre glass, fiberglass, fibreglass, Insulation, Hood fan, CONSTRUCTION DEBRIS, CONSTRUCTION DEBRIS, construction material, construction material, olddecking, olddecking, Hardwood, Hardwood, Osb, Osb, vinyl siding, painted fence boards with nails, evestrough",Home renovation waste,,eco_station_-_construction_scrap,Eco Station - Loose or Mixed Waste,construction,Waste
79,,bubble_wrap,"bubblewrap, Plastic bubble wrap",Bubble wrap,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
80,,bubble_wrap,"bubblewrap, Plastic bubble wrap",Bubble wrap,,wizard_garbage,Garbage,None,None
81,,buttons,,Buttons,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
82,,buttons,,Buttons,,wizard_garbage,Garbage,None,None
83,,ceiling_fan,,Ceiling fan,,wizard_eco_stations,Eco Station,None,None
84,,concrete,", Cement blocks, Cement pieces, cement, cement, concerte, concerte, aggregate recycling, aggregate recycling, Concrete steps, Concrete steps",Concrete,,aggregate_recycling,Aggregate Recycling,None,None
85,,mousepad,,Mousepad,,drop-off_-_reuse_centre,Reuse Centre,None,None
86,,video_game_system,"PS3, nintendo, wii system, wii system, ps6, Xbox",Video game system,,reuse,Reuse,Electronics,E-Cycling
87,,battery_rechargeable,"battweies, batteriesr, battries, bateries, batery, bateriew, bateries, bateriew, batery, batteris, baggeries, Batteries",Battery (rechargeable),,wizard_eco_station_-_household_hazardous_waste,Eco Station - HHW,None,None
88,,candies,"candy, snacks,",Candies,,wizard_garbage,Garbage,None,None
89,,candles,"wax candles, wax, birthday candles",Candle,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
90,,candles,"wax candles, wax, birthday candles",Candle,,wizard_garbage,Garbage,None,None
91,,plant_pots_ceramic,"Flower pots, flower trays, bedding plant containers, garden, Planter, clay pots, clay pot",Plant pot (ceramic),,wizard_garbage,Garbage,None,None
92,,carbon_paper,,Carbon paper,,wizard_garbage,Garbage,None,None
93,,photographs,"photos, pictures, , picture, picture, photograph",Photographs,,wizard_garbage,Garbage,None,None
94,,blender,,Blender,,reuse,Reuse,None,None
95,,toys_electronic,"Pheobe, toy car, tamagotchi, robot, Nintendo, helicopter, computer, play station, keyboard, cell phone, laser gun, barbie car,",Electronic toy,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
96,,couch,"Sofa, chesterfield",Couch,,reuse,Reuse,Waste,Waste
97,,home_renovation_waste,"Reno waste, renovation waste, drywall, sinks, bathtubs, glasspane, pipes, counter tops, cupboards, baseboards, floor boards, door frames, doors, ceiling panels, linoleum, hardwood flooring, faucet, cabinets, tiles, vinyl siding, vinyl, vinyl, fiber glass, fibre glass, fiberglass, fibreglass, Insulation, Hood fan, CONSTRUCTION DEBRIS, CONSTRUCTION DEBRIS, construction material, construction material, olddecking, olddecking, Hardwood, Hardwood, Osb, Osb, vinyl siding, painted fence boards with nails, evestrough",Home renovation waste,,edmonton_waste_management_centre_ewmc,Edmonton Waste Management Centre (EWMC),None,None
98,,foil_tray,foil pan,Foil tray,,wizard_recycling,Recycling,Household,Aluminum
99,,electric_steamer,,Electric steamer,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
100,,coffee_cup_tray_paper,", coffee take out trays, takeout, Cardboard beverage holder, Cardboard drink holders, paper 4  cup holder",Coffee cup tray (paper),,wizard_recycling_depots,Recycling Depot,Household,paper
101,,glass_wall_shelf,", Glass shelves, Glass shelves",Glass wall shelf,"Keep your collector safe! Put glass shelf in a cardboard box. Label it ""sharp objects"" and place it beside your waste.",reuse,Reuse,None,None
102,,paper_bag,"Brown Bag, lunch bag, fast food bag, fast food bag, Mcdonalds bag, Mcdonalds bag, Instant oatmeal pouch, Instant oatmeal pouch, paper shopping bag",Paper bag,,wizard_recycling_depots,Recycling Depot,Household,paper
103,Some light bulbs contain hazardous materials. Please take all light bulbs to an Eco Station. Free drop off applies.,light_bulb_all_types,"halogen, LED, CFL, flurescent, light bulb, car light bulb, lighbulbs, lightbulbs, Flouescent, Flouescent, Lightbulbs, Cfl broken, Incandesent light bulb, Halogen bulb, broken light bulb",Light bulb (all types),,wizard_eco_stations,Eco Station,Lightbulbs,E-Cycling
104,,cellophane,"cellaphane, celophane, celafane",Cellophane,,drop-off_-_reuse_centre,Reuse Centre,Electronics,E-Cycling
105,,cellophane,"cellaphane, celophane, celafane",Cellophane,,wizard_garbage,Garbage,None,None
106,,cereal_grains,"food, oatmeal, corn bread, corn meal, cereal",Cereal & grains,"This item is great for home composting! Visit ""http://edmonton.ca/compost"">edmonton.ca/compost to get started. Did you know? Food & yard waste is removed from your garbage at the Edmonton Waste Management Centre and composted. This helps Edmonton divert over 50% of household waste from landfill. ",wizard_garbage,Garbage,None,None
107,There is no curbside collection for this item. Please take it to an Eco Station for free. It will be recycled.,chainsaw,,Chainsaw,,wizard_eco_stations,Eco Station,construction,Waste
108,,chair,,Chair,,eco_station_-_bulky_item,Eco Station - Bulky Items,Waste,Waste
109,,chair,,Chair,,reuse,Reuse,None,None
110,,cd,"Compact disc, Laser disc, Laser disc, Laserdisc, CD.s, CD.s, CD.s, cd’s, cd’s, cds",CD,,drop-off_-_reuse_centre,Reuse Centre,None,None
111,,chip_can,"pringles can, cardboard can",Chip can,,wizard_garbage,Garbage,None,None
112,,chopstick,,Chopstick,,wizard_garbage,Garbage,None,None
113,,calendar,,Calendar,Remove plastic or metal binding.,drop-off_-_reuse_centre,Reuse Centre,None,None
114,,craft_paint,"acrylic, color, colour, oil, gloss",Craft paint,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
115,,vases,", cracked flower vase",Vases,,reuse,Reuse,Waste,Waste
116,,lighter_empty,"BBQ lighter, barbeque, cigarette lighter",Lighter (empty),,wizard_garbage,Garbage,None,None
117,,photographs,"photos, pictures, , picture, picture, photograph",Photographs,,drop-off_-_reuse_centre,Reuse Centre,None,None
118,,cigarettes_cigarette_butts_cigars_and_ashes,"cigaret, smokes, cigarette wrappings, cigar, cigarettes, cigarette, cigar","Cigarettes, cigarette butts, cigars and ashes",Must be cold. Please double bag. It keeps your collector safe.,wizard_garbage,Garbage,None,None
119,,classroom_decorations,,Classroom decorations,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
120,,sanitizing_wipe,"wet naps, wet wipes, towelettes, cleansing sheets, Sanitizing wipe",Cleaning wipe,"Trash it, dont splash it! Flushing this item down the toilet can clog sewer lines and cause sewage backup in your home and neighbourhood. Thanks for putting it in the garbage.",wizard_garbage,Garbage,None,None
121,,speaker,speakers,Speaker,,reuse,Reuse,None,None
122,,rubber_band,", Plastic bands, Plastic bands",Rubber band,,wizard_garbage,Garbage,None,None
123,,clothes_pegs,Clothes peg,Clothespin,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
124,,clothes_pegs,Clothes peg,Clothespin,,wizard_garbage,Garbage,None,None
125,,screws_nails,"hardware, sharps",Screws & nails,"Keep your collector safe. Put nails in a box and label ""sharp objects"". Place beside your garbage.",eco_station_-_scrap_metal_recycling,Eco Station - Scrap Metal Recycling,Scrap Metals,Waste
126,,coffee_can_cardboard,"Folgers, Coffee Tin",Coffee can (cardboard),,drop-off_-_reuse_centre,Reuse Centre,Household,paper
127,,coffee_can_cardboard,"Folgers, Coffee Tin",Coffee can (cardboard),,wizard_garbage,Garbage,None,None
128,,jewelry_broken,", Fashion jewelry, Fashion jewelry, jewelry","Jewelry, broken",,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
129,,clothing,", Denim, worn out clothing, dress, textiles, Cotton, leggings, slippers",Clothing,,consider_reuse,Clothing,clothes,Waste
130,,craft_paint,"acrylic, color, colour, oil, gloss",Craft paint,,wizard_garbage,Garbage,None,None
131,,craft_supplies,"pompom, feathers, stamps, craft paper, scrapbooking supplies, craft paint, paintbrush, paint brush",Craft supplies,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
132,,foil_take-out_food_container,takeout,Foil take-out food container,Please rinse.,wizard_recycling_depots,Recycling Depot,Household,Plastic
133,,paper_bag,"Brown Bag, lunch bag, fast food bag, fast food bag, Mcdonalds bag, Mcdonalds bag, Instant oatmeal pouch, Instant oatmeal pouch, paper shopping bag",Paper bag,,wizard_recycling,Recycling,None,None
134,,vases,", cracked flower vase",Vases,,drop-off_-_reuse_centre,Reuse Centre,None,None
135,,baseboards,", baseboard",Baseboards,,eco_station_-_construction_scrap,Eco Station - Loose or Mixed Waste,None,None
136,,automotive_fluids,"coolant, motor oil, engine oil, antifreeze, transmission fluid, car fluids, Brake, deisel addictive containers, deisel fuel",Automotive fluids,,wizard_household_hazardous_waste,Household Hazardous Waste,Chemicals,Waste
137,,computer_keyboard,,Computer keyboard,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Computers,Computers
138,,computer_keyboard,,Computer keyboard,,reuse,Reuse,None,None
139,,computer_monitor,"screen, screens",Computer monitor,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Computers,Computers
140,,computer_monitor,"screen, screens",Computer monitor,,reuse,Reuse,None,None
141,,computer_mouse,"mouse, mice",Computer mouse,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Computers,Computers
142,,toys_electronic,"Pheobe, toy car, tamagotchi, robot, Nintendo, helicopter, computer, play station, keyboard, cell phone, laser gun, barbie car,",Electronic toy,,reuse,Reuse,None,None
143,,calculator,,Calculator,,drop-off_-_reuse_centre,Reuse Centre,Electronics,E-Cycling
144,,baby_wipe_container,,Baby wipe container,,wizard_recycling_depots,Recycling Depot,None,None
145,,pet_bedding,cat; dog; animal; bird,Pet toy,,wizard_garbage,Garbage,None,None
146,,baby_wipe,,Baby wipe,,wizard_garbage,Garbage,None,None
147,,cereal_box,,Cereal box,Remove plastic liner and place liner in garbage.,wizard_recycling_depots,Recycling Depot,Household,paper
148,,diaper,"diapers, Pampers, baby, nappy, Pull-ups, pull-ups, urine, dipair, dipers, daiper, dipper, Used diapers, Used diapers",Diaper,"Trash it, dont splash it! Flushing this item down the toilet can clog your sewer line and cause sewage backup in your home and neighbourhood. Please put it in the garbage.",wizard_garbage,Garbage,None,None
149,,glass_bottle_non-beverage,", olive oil glass",Glass bottle (non-beverage),Remove caps and lids and place separately in recycling.,wizard_recycling_depots,Recycling Depot,Household,Glass
150,,fabric_scraps,"Textiles, textile scraps, Water faucet, Cloth, upholstry, textiles, Cotton",Fabric scraps,Fabric donations to the Reuse Centre must be a minimum of 0.25 metres.,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
151,,condom,", Condoms",Condom,"Trash it, dont splash it! Flushing this item down the toilet can clog your sewer line and cause sewage backup in your home and neighbourhood. Thank you for putting it in the garbage.",wizard_garbage,Garbage,None,None
152,,contact_lens_case,,Contact lens case,,wizard_garbage,Garbage,None,None
153,,cookie_bag_plastic,,"Cookie bag, plastic",,wizard_garbage,Garbage,None,None
154,,shampoo_bottle,"conditioner, hair, shampoo/conditioner",Shampoo bottle,Remove cap or lid and place separately in recycling. Place pump in garbage.,wizard_recycling_depots,Recycling Depot,None,None
155,,cooking_pots_metal,"pots, saucepan, pot",Cooking pot (metal),   ,eco_station_-_scrap_metal_recycling,Eco Station - Scrap Metal Recycling,Scrap Metals,Waste
156,,cooking_pots_metal,"pots, saucepan, pot",Cooking pot (metal),   ,reuse,Reuse,None,None
157,,cooking_pots_metal,"pots, saucepan, pot",Cooking pot (metal),   ,wizard_garbage,Garbage,None,None
158,There is no curbside collection for this electronic item.,copier,"photocopier, copying machine",Copier,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Computers,E-Cycling
159,,cotton_ball,"cottonballs, soiled, make-up pad, makeup pad, clean make up pad, makeup pads, make up pad, make-up pads, clean make up pads",Cotton ball,,wizard_garbage,Garbage,None,None
160,,cotton_pad,,Cotton pad,,wizard_garbage,Garbage,None,None
161,,cotton_swab,"Q-Tips, Qtips, cotton-tipped swab, ear swabs, ear cleaners, cotton swabs, cotton buds, cottonswabs, Qtip, qutip",Cotton swab,,wizard_garbage,Garbage,None,None
162,,couch,"Sofa, chesterfield",Couch,,eco_station_-_bulky_item,Eco Station - Bulky Items,None,None
163,,craft_supplies,"pompom, feathers, stamps, craft paper, scrapbooking supplies, craft paint, paintbrush, paint brush",Craft supplies,,reuse,Reuse,None,None
164,,craft_supplies,"pompom, feathers, stamps, craft paper, scrapbooking supplies, craft paint, paintbrush, paint brush",Craft supplies,,wizard_garbage,Garbage,None,None
165,There is no curbside collection for this bulky item.,crib,,Crib,,eco_station_-_bulky_item,Eco Station - Bulky Items,Waste,Waste
166,,cutlery_compostable_plastic,"fork, forks, knife, knives, spoon, spoons, cornstarch, biodegradable, PLA, utensil, utensils, bamboo, Tableware","Cutlery (""compostable"" plastic)",,wizard_garbage,Garbage,None,None
167,,foil_take-out_food_container,takeout,Foil take-out food container,Please rinse.,wizard_recycling,Recycling,None,None
168,,cd,"Compact disc, Laser disc, Laser disc, Laserdisc, CD.s, CD.s, CD.s, cd’s, cd’s, cds",CD,,wizard_garbage,Garbage,None,None
169,,cereal_box,,Cereal box,Remove plastic liner and place liner in garbage.,wizard_recycling,Recycling,None,None
170,,cutlery_wood,"fork, forks, knife, knives, spoon, spoons, bamboo, utensil, utensils, Tableware",Cutlery (wood),,wizard_garbage,Garbage,None,None
171,,floss,"dental, floss",Dental floss,"Trash it, dont splash it! Flushing this item down the toilet can clog your sewer line and cause sewage backup in your home and neighbourhood. Thank you for putting it in the garbage.",wizard_garbage,Garbage,None,None
172,,curling_iron,,Curling iron,,reuse,Reuse,Waste,Waste
173,There is no curbside collection for this appliance.,dishwasher,", dishwaher",Dishwasher,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Waste,E-Cycling
174,There is no curbside collection for this appliance.,dishwasher,", dishwaher",Dishwasher,,reuse,Reuse,None,None
175,,disposable_mop_sheet,swiffer,Disposable mop sheet,,wizard_garbage,Garbage,None,None
176,,dry_cleaning_bag,dryclean,Dry cleaning bag,Please stuff plastic bags into one bag and tie closed. This makes them easier to sort from other recyclables. Better sorting means more of the right stuff is recycled!,wizard_recycling,Recycling,Household,Plastic
177,,calendar,,Calendar,Remove plastic or metal binding.,wizard_recycling,Recycling,None,None
178,,fabric_clean,"burlap, textile, textile scrap, Cloth, Denim, upholstry, textiles, Cotton",Fabric (clean),Fabric donations to the Reuse Centre must be a minimum of 0.25 metres.,wizard_garbage,Garbage,None,None
179,,fabric_scraps,"Textiles, textile scraps, Water faucet, Cloth, upholstry, textiles, Cotton",Fabric scraps,Fabric donations to the Reuse Centre must be a minimum of 0.25 metres.,wizard_garbage,Garbage,None,None
180,,book_softcover,"Paperback book, telephone book, phone book, novels, text book, paper back book, paper back book, Cookbooks",Book (softcover),,wizard_recycling,Recycling,Household,paper
181,,yogurt_tube,"yoghurt, yogurt",Yogurt tube,,wizard_garbage,Garbage,None,None
182,,dry_cleaning_bag,dryclean,Dry cleaning bag,Please stuff plastic bags into one bag and tie closed. This makes them easier to sort from other recyclables. Better sorting means more of the right stuff is recycled!,wizard_recycling_depots,Recycling Depot,None,None
183,There is no curbside collection for this appliance.,dryer,,Dryer,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Waste,E-Cycling
184,There is no curbside collection for this appliance.,dryer,,Dryer,,reuse,Reuse,None,None
185,,dryer_lint,,Dryer lint,,wizard_garbage,Garbage,None,None
186,,dryer_sheet,bounce,Dryer sheet,,wizard_garbage,Garbage,None,None
187,,christmas_tree_natural,"X-mas tree, tree, pine tree, christmastree",Christmas tree (natural),"For Christmas trees to be acceptable for composting, all ornaments, tinsel, garlands, nails, screws and tree stands must be removed. Large trees should be cut into two-metre (6.5 foot) lengths. Live in an apartment or condo? Take your natural Christmas tree to a ""http://www.edmonton.ca/programs_services/garbage_waste/recycling-depots.aspx"" community recycling depot or an ""http://www.edmonton.ca/programs_services/garbage_waste/eco-stations.aspx"" Eco Station free of charge until January 31. Please dont place it in or beside your apartment recycling or waste bins.",wizard_christmas_tree_collection,Christmas Tree Collection,None,None
188,,duct_tape,ducttape; duck tape,Duct tape,,wizard_garbage,Garbage,None,None
189,,dvd,,DVD,,drop-off_-_reuse_centre,Reuse Centre,Electronics,E-Cycling
190,,dvd,,DVD,,wizard_garbage,Garbage,None,None
191,,dvd_case,,DVD case,,drop-off_-_reuse_centre,Reuse Centre,Electronics,E-Cycling
192,,dvd_case,,DVD case,,wizard_garbage,Garbage,None,None
193,,chocolate_box_paper_or_cardboard,,Chocolate box (paper or cardboard),Remove plastic tray and dispose of in garbage.,wizard_recycling_depots,Recycling Depot,Household,paper
194,,eggs,,Eggs,Did you know? Food & yard waste is removed from your garbage at the Edmonton Waste Management Centre and composted. This helps Edmonton divert over 50% of household waste from landfill. ,wizard_garbage,Garbage,None,None
195,,egg_shells,"egg shells,",Eggshells,"This item is great for home composting! Get started at ""http://edmonton.ca/compost"" edmonton.ca/compost. Did you know? Food & yard waste is removed from your garbage at the Edmonton Waste Management Centre and composted. This helps Edmonton divert over 50% of household waste from landfill.",wizard_garbage,Garbage,None,None
196,,fabric_softener_container,fabric softner,Fabric softener bottle,Remove cap or lid and place separately in recycling.,wizard_recycling_depots,Recycling Depot,None,None
